Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Colorado State University — Planning Gift,Institute for Advancement of Animal Welfare Science,Farm Animal Welfare,80400,3/1/2017,,,,,,,,,,,,,,
Vera Institute of Justice — Criminal Justice Reform Report,Vera Institute of Justice,Criminal Justice Reform,50000,3/1/2017,,,,,,,,,,,,,,
OpenAI — General Support,OpenAI,Potential Risks from Advanced Artificial Intelligence,30000000,3/1/2017,,,,,,,,,,,,,,
World Animal Protection — Broiler Chicken Welfare (2017),World Animal Protection,Farm Animal Welfare,517588,3/1/2017,,,,,,,,,,,,,,
Centre for Effective Altruism — General Support (2017),Centre for Effective Altruism,Other areas,2500000,3/1/2017,,,,,,,,,,,,,,
Wageningen UR — Chicken Welfare Systematic Assessment,Wageningen UR,Farm Animal Welfare,88345,3/1/2017,,,,,,,,,,,,,,
National Alliance of Faith and Justice — Criminal Justice Reform,National Alliance of Faith and Justice,Criminal Justice Reform,100000,3/1/2017,,,,,,,,,,,,,,
"80,000 Hours — General Support","80,000 Hours",Other areas,1125000,3/1/2017,,,,,,,,,,,,,,
The People's Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2017),The People's Lobby Education Institute,Criminal Justice Reform,125000,3/1/2017,,,,,,,,,,,,,,
People's Action Institute — Prosecutor Accountability,People's Action Institute,Criminal Justice Reform,279000,3/1/2017,,,,,,,,,,,,,,
Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2017),Workers Center for Racial Justice,Criminal Justice Reform,125000,3/1/2017,,,,,,,,,,,,,,
UCLA — Climate Engineering Governance,UCLA School of Law,Global Catastrophic Risks,776095,3/1/2017,,,,,,,,,,,,,,
People's Action — Prosecutor Accountability,People's Action,Criminal Justice Reform,1927640,3/1/2017,,,,,,,,,,,,,,
Distill Prize for Clarity in Machine Learning — General Support,Distill Prize for Clarity in Machine Learning,Potential Risks from Advanced Artificial Intelligence,25000,3/1/2017,,,,,,,,,,,,,,
International Society for Applied Ethology — Travel Scholarships,International Society for Applied Ethology,Farm Animal Welfare,40000,3/1/2017,,,,,,,,,,,,,,
Center for Global Development — Migration Program,Center for Global Development,Immigration Policy,1800000,3/1/2017,,,,,,,,,,,,,,
Stanford University — Percy Liang Planning Grant,Stanford University,Potential Risks from Advanced Artificial Intelligence,25000,3/1/2017,,,,,,,,,,,,,,
Drug Policy Alliance — Drug Decriminalization,Drug Policy Alliance,Criminal Justice Reform,1371630,3/1/2017,,,,,,,,,,,,,,
Texas Organizing Project Education Fund — Criminal Justice Reform,Texas Organizing Project Education Fund,Criminal Justice Reform,765000,3/1/2017,,,,,,,,,,,,,,
Texas Organizing Project — Criminal Justice Reform (2017),Texas Organizing Project,Criminal Justice Reform,1195500,3/1/2017,,,,,,,,,,,,,,
Future of Humanity Institute — General Support,Future of Humanity Institute,Potential Risks from Advanced Artificial Intelligence,1995425,3/1/2017,,,,,,,,,,,,,,
American Civil Liberties Union Foundation of Oregon — Prosecutorial Accountability,American Civil Liberties Union Foundation of Oregon,Criminal Justice Reform,145000,3/1/2017,,,,,,,,,,,,,,
Georgetown Center for Global Health Science and Security — General Support (2017),Georgetown Center for Global Health Science and Security,Biosecurity and Pandemic Preparedness,3500000,3/1/2017,,,,,,,,,,,,,,
Jeanne Marchig Centre — Farm Animal Welfare Advocacy in China (2017),Jeanne Marchig International Centre for Animal Welfare Education,Farm Animal Welfare,255816,3/1/2017,,,,,,,,,,,,,,
ClimateWorks Foundation — Kigali Cooling Efficiency Program,ClimateWorks Foundation,Global Catastrophic Risks,3000000,3/1/2017,,,,,,,,,,,,,,
Humane Society International — East Asian and OIE Projects,Humane Society International,Farm Animal Welfare,1364000,3/1/2017,,,,,,,,,,,,,,
Center for Popular Democracy Action Fund — Fed Up Campaign (2017),Center for Popular Democracy Action Fund,Macroeconomic Stabilization Policy,305000,2/1/2017,,,,,,,,,,,,,,
Florida Rights Restoration Coalition — General Support,Florida Rights Restoration Coalition,Criminal Justice Reform,130000,2/1/2017,,,,,,,,,,,,,,
Global Animal Partnership — Broiler Chicken Welfare Research,Global Animal Partnership,Farm Animal Welfare,515000,2/1/2017,,,,,,,,,,,,,,
Genspace — DIYbio and FBI Meeting,Genspace ,Biosecurity and Pandemic Preparedness,15000,2/1/2017,,,,,,,,,,,,,,
LatinoJustice — Work to End Mass Incarceration,LatinoJustice,Criminal Justice Reform,500000,2/1/2017,,,,,,,,,,,,,,
Global Animal Partnership — General Support (2017),Global Animal Partnership,Farm Animal Welfare,200000,2/1/2017,,,,,,,,,,,,,,
ReFrame Mentorship — General Support,ReFrame Mentorship,Criminal Justice Reform,100000,2/1/2017,,,,,,,,,,,,,,
Malaria Consortium — Seasonal Malaria Chemoprevention (February 2017),Malaria Consortium,Global Health & Development,5000000,2/1/2017,,,,,,,,,,,,,,
Compassion in World Farming — Farm Animal Welfare Advocacy in China (2017),Compassion in World Farming,Farm Animal Welfare,765112,2/1/2017,,,,,,,,,,,,,,
Prison Policy Initiative — General Support (2017) ,Prison Policy Initiative,Criminal Justice Reform,66000,2/1/2017,,,,,,,,,,,,,,
American Civil Liberties Union of Northern California — Prosecutorial Accountability ,American Civil Liberties Union Foundation of Northern California,Criminal Justice Reform,250000,2/1/2017,,,,,,,,,,,,,,
Dyrevernalliansen — Fish Welfare,Dyrevernalliansen (The Norwegian Animal Protection Alliance),Farm Animal Welfare,378000,2/1/2017,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in China,Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,453440,2/1/2017,,,,,,,,,,,,,,
Nuclear Threat Initiative — Planning Grant for Global Health Security Index,Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,476859,2/1/2017,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2017),Center for Popular Democracy,Macroeconomic Stabilization Policy,1100000,2/1/2017,,,,,,,,,,,,,,
National Network for Safe Communities — LA Larceny Project,National Network for Safe Communities,Criminal Justice Reform,161040,2/1/2017,,,,,,,,,,,,,,
gui2de — Zusha! Road Safety Campaign (February 2017),"Georgetown University Initiative on Innovation, Development, and Evaluation",Global Health & Development,900000,2/1/2017,,,,,,,,,,,,,,
Justice Solutions — Anne Seymour's Crime Victims and Survivors Work (2017),Justice Solutions,Criminal Justice Reform,112613,2/1/2017,,,,,,,,,,,,,,
Farm Forward — Chicken Welfare Advocacy (2017),Farm Forward,Farm Animal Welfare,100000,1/1/2017,,,,,,,,,,,,,,
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2017)",Johns Hopkins Center for Health Security,Biosecurity and Pandemic Preparedness,16000000,1/1/2017,,,,,,,,,,,,,,
The Justice Collaborative — General Support (2017),The Justice Collaborative,Criminal Justice Reform,1301280,1/1/2017,,,,,,,,,,,,,,
Compassion in World Farming — Fish Welfare,Compassion in World Farming,Farm Animal Welfare,1026253,1/1/2017,,,,,,,,,,,,,,
Blue Ribbon Study Panel on Biodefense — General Support (2017),Blue Ribbon Study Panel on Biodefense,Biosecurity and Pandemic Preparedness,500000,1/1/2017,,,,,,,,,,,,,,
Accountable Justice Collaborative — General Support,Accountable Justice Collaborative,Criminal Justice Reform,200000,1/1/2017,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2017),Global Alliance for Improved Nutrition,Global Health & Development,250000,1/1/2017,,,,,,,,,,,,,,
Fair and Just Prosecution — General Support (2017),Fair and Just Prosecution,Criminal Justice Reform,1500000,1/1/2017,,,,,,,,,,,,,,
Albert Schweitzer Foundation — Fish Welfare,Albert Schweitzer Foundation,Farm Animal Welfare,317060,1/1/2017,,,,,,,,,,,,,,
Albert Schweitzer Foundation — International Cage-Free Advocacy,Albert Schweitzer Foundation,Farm Animal Welfare,111986,1/1/2017,,,,,,,,,,,,,,
"Mission: Launch, Inc. — Lisa Sangoi on Child Welfare","Mission: Launch, Inc.",Criminal Justice Reform,55000,1/1/2017,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (January 2017),Evidence Action,Global Health & Development,4470000,1/1/2017,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (January 2017),Against Malaria Foundation,Global Health & Development,15080000,1/1/2017,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2017),Schistosomiasis Control Initiative,Global Health & Development,13500000,1/1/2017,,,,,,,,,,,,,,
Sightsavers — Deworming (January 2017),Sightsavers,Global Health & Development,2950000,1/1/2017,,,,,,,,,,,,,,
GiveDirectly — General Support (January 2017),GiveDirectly,Global Health & Development,2500000,1/1/2017,,,,,,,,,,,,,,
Living Goods — General Support (January 2017),Living Goods,Global Health & Development,250000,1/1/2017,,,,,,,,,,,,,,
Project Healthy Children — General Support (January 2017),Project Healthy Children,Global Health & Development,250000,1/1/2017,,,,,,,,,,,,,,
The END Fund — Deworming (December 2016),The END Fund,Global Health & Development,5000000,12/1/2016,,,,,,,,,,,,,,
Food Fortification Initiative — General Support (December 2016),Food Fortification Initiative,Global Health & Development,250000,12/1/2016,,,,,,,,,,,,,,
Iodine Global Network — General Support (December 2016),Iodine Global Network,Global Health & Development,250000,12/1/2016,,,,,,,,,,,,,,
The Pollination Project — Global Animal Advocacy Movement (2016),The Pollination Project,Farm Animal Welfare,233000,12/1/2016,,,,,,,,,,,,,,
Development Media International — General Support (December 2016),Development Media International,Global Health & Development,250000,12/1/2016,,,,,,,,,,,,,,
Evidence Action — No Lean Season,Evidence Action,Global Health & Development,1687500,12/1/2016,,,,,,,,,,,,,,
Harvard University — Solar Geoengineering Research Program,Harvard University,Global Catastrophic Risks,2500000,12/1/2016,,,,,,,,,,,,,,
The Soze Agency — Returning Citizens Project,The Soze Agency,Criminal Justice Reform,261500,12/1/2016,,,,,,,,,,,,,,
The Ordinary People Society — Prodigal Child Project,The Ordinary People Society,Criminal Justice Reform,300000,12/1/2016,,,,,,,,,,,,,,
Blackbird — Ending Mass Incarceration,Blackbird,Criminal Justice Reform,425000,12/1/2016,,,,,,,,,,,,,,
Griffith University — Farm Animal Welfare Advocacy in China (2016),Griffith University,Farm Animal Welfare,120000,12/1/2016,,,,,,,,,,,,,,
Ayni Institute — Movement Ecology and Metrics,Ayni Institute,Criminal Justice Reform,250000,12/1/2016,,,,,,,,,,,,,,
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project","Grassroots Leadership, Inc.",Criminal Justice Reform,275000,12/1/2016,,,,,,,,,,,,,,
Mothers Against Police Brutality — Prosecutorial Reform,Mothers Against Police Brutality,Criminal Justice Reform,50000,12/1/2016,,,,,,,,,,,,,,
Colorado Criminal Justice Reform Coalition — Prosecutorial Reform (December 2016),Colorado Criminal Justice Reform Coalition,Criminal Justice Reform,75000,12/1/2016,,,,,,,,,,,,,,
LEAD National Support Bureau — General Support,LEAD National Support Bureau,Criminal Justice Reform,200000,12/1/2016,,,,,,,,,,,,,,
UC Berkeley — Plant Pathology Workshop (Brian Staskawicz),UC Berkeley,Scientific Research,63000,12/1/2016,,,,,,,,,,,,,,
Animal Welfare Standards Project — Farm Animal Welfare Advocacy in China,Animal Welfare Standards Project,Farm Animal Welfare,238212,12/1/2016,,,,,,,,,,,,,,
JustLeadershipUSA — Campaign to Close Rikers (2016),JustLeadershipUSA,Criminal Justice Reform,4000000,12/1/2016,,,,,,,,,,,,,,
AI Impacts — General Support (2016),AI Impacts,Potential Risks from Advanced Artificial Intelligence,32000,12/1/2016,,,,,,,,,,,,,,
Civil Rights Corps — General Support (2016),Civil Rights Corps,Criminal Justice Reform,200000,12/1/2016,,,,,,,,,,,,,,
Dream Corps — Criminal Justice and Criminalization,Dream Corps,Criminal Justice Reform,500000,12/1/2016,,,,,,,,,,,,,,
Eurogroup for Animals — Fish Welfare (2016),Eurogroup for Animals,Farm Animal Welfare,535699,12/1/2016,,,,,,,,,,,,,,
PICO Action Fund — General Support,PICO Action Fund,Criminal Justice Reform,50000,12/1/2016,,,,,,,,,,,,,,
PICO National Network — General Support,PICO National Network,Criminal Justice Reform,50000,12/1/2016,,,,,,,,,,,,,,
Compassion Over Killing — U.S. Broiler Welfare Campaigns,Compassion Over Killing,Farm Animal Welfare,500000,12/1/2016,,,,,,,,,,,,,,
Impact Justice — Restorative Justice Project,Impact Justice,Criminal Justice Reform,2050000,12/1/2016,,,,,,,,,,,,,,
Impossible Foods — R&D Investment,Impossible Foods,Farm Animal Welfare,,11/1/2016,,,,,,,,,,,,,,
Color Of Change Education Fund — Criminal Justice Meeting,Color Of Change Education Fund,Criminal Justice Reform,30000,11/1/2016,,,,,,,,,,,,,,
Green Monday — Promoting work in China,Green Monday,Farm Animal Welfare,226000,11/1/2016,,,,,,,,,,,,,,
New Incentives — Exit Grant and Immunizations Pilot,New Incentives,Global Health & Development,368587,11/1/2016,,,,,,,,,,,,,,
National Association of Community and Restorative Justice — Restorative Justice Conference,National Association of Community and Restorative Justice,Criminal Justice Reform,50000,11/1/2016,,,,,,,,,,,,,,
Citizens for Juvenile Justice — General Support (2016),Citizens for Juvenile Justice,Criminal Justice Reform,65000,11/1/2016,,,,,,,,,,,,,,
Electronic Frontier Foundation — Artificial Intelligence Scenarios and Social Impacts,Electronic Frontier Foundation,Potential Risks from Advanced Artificial Intelligence,199000,11/1/2016,,,,,,,,,,,,,,
Humane Society of the United States — Broiler Welfare Corporate Campaigns,Humane Society of the United States,Farm Animal Welfare,1000000,11/1/2016,,,,,,,,,,,,,,
Mercy For Animals — Broiler Chicken Welfare Corporate Campaigns (2016),Mercy For Animals,Farm Animal Welfare,1000000,11/1/2016,,,,,,,,,,,,,,
The Humane League — General Support (2016),The Humane League,Farm Animal Welfare,1000000,11/1/2016,,,,,,,,,,,,,,
IDinsight — Embedded GiveWell Team,IDinsight,Global Health & Development,314752,11/1/2016,,,,,,,,,,,,,,
Charity Science: Health — General Support,Charity Science: Health,Global Health & Development,200000,11/1/2016,,,,,,,,,,,,,,
Fórum Nacional de Proteção e Defesa Animal — International Cage-Free Advocacy,Fórum Nacional de Proteção e Defesa Animal,Farm Animal Welfare,100000,10/1/2016,,,,,,,,,,,,,,
Justice Strategies — General Support (2016),Justice Strategies,Criminal Justice Reform,200000,10/1/2016,,,,,,,,,,,,,,
Youth First Initiative — General Support,Youth First Initiative,Criminal Justice Reform,250000,10/1/2016,,,,,,,,,,,,,,
Essie Justice Group — General Support,Essie Justice Group,Criminal Justice Reform,600000,10/1/2016,,,,,,,,,,,,,,
Color Of Change — Studying Voter Activity in Prosecutorial Elections,Color Of Change,Criminal Justice Reform,229100,10/1/2016,,,,,,,,,,,,,,
New Virginia Majority — Formerly Incarcerated Organizers,New Virginia Majority Education Fund,Criminal Justice Reform,50000,10/1/2016,,,,,,,,,,,,,,
Texas Fair Defense Project — General Support,Texas Fair Defense Project,Criminal Justice Reform,63000,10/1/2016,,,,,,,,,,,,,,
Center for International Security and Cooperation — Megan Palmer's Biosecurity Research (2016),Center for International Security and Cooperation,Biosecurity and Pandemic Preparedness,643415,10/1/2016,,,,,,,,,,,,,,
Safety and Justice Action Fund — General Support,Safety and Justice Action Fund,Criminal Justice Reform,300000,10/1/2016,,,,,,,,,,,,,,
Johns Hopkins Center for Health Security — Emerging Leaders in Biosecurity Initiative,Johns Hopkins Center for Health Security,Biosecurity and Pandemic Preparedness,2744000,10/1/2016,,,,,,,,,,,,,,
World Animal Protection — Farm Animal Welfare Advocacy in China,World Animal Protection,Farm Animal Welfare,544607,10/1/2016,,,,,,,,,,,,,,
Center for Popular Democracy Action Fund — Fed Up Campaign (October 2016),Center for Popular Democracy Action Fund,Macroeconomic Stabilization Policy,31500,10/1/2016,,,,,,,,,,,,,,
Million Voters Project Action Fund — Support for Proposition 57,Million Voters Project Action Fund,Criminal Justice Reform,400000,10/1/2016,,,,,,,,,,,,,,
Yes on Prop. 57 — General Support,Yes on Prop. 57,Criminal Justice Reform,200000,10/1/2016,,,,,,,,,,,,,,
Just Liberty — General Support,Just Liberty,Criminal Justice Reform,530000,10/1/2016,,,,,,,,,,,,,,
Protect the People — Exit Grant,Protect the People,Immigration Policy,50000,10/1/2016,,,,,,,,,,,,,,
Founders Pledge — General Support,Founders Pledge,Other areas,1032947,9/1/2016,,,,,,,,,,,,,,
WildAid — Reducing Meat Consumption in China (2016),WildAid,Farm Animal Welfare,700000,9/1/2016,,,,,,,,,,,,,,
Future of Humanity Institute — Biosecurity and Pandemic Preparedness,Future of Humanity Institute,Biosecurity and Pandemic Preparedness,115652,9/1/2016,,,,,,,,,,,,,,
The Good Food Institute — General Support,The Good Food Institute,Farm Animal Welfare,1000000,9/1/2016,,,,,,,,,,,,,,
University of Cape Town — Geomagnetics Research,University of Cape Town,Global Catastrophic Risks,493425,9/1/2016,,,,,,,,,,,,,,
Brighter Green — Farm Animal Welfare Advocacy in China,Brighter Green,Farm Animal Welfare,99360,9/1/2016,,,,,,,,,,,,,,
CDC Foundation — Malaria Control Research (2016),CDC Foundation,Scientific Research,1214437,9/1/2016,,,,,,,,,,,,,,
Faith in Texas — General Support,Faith in Texas,Criminal Justice Reform,637000,9/1/2016,,,,,,,,,,,,,,
Brooklyn Community Bail Fund — General Support,Brooklyn Community Bail Fund,Criminal Justice Reform,404800,9/1/2016,,,,,,,,,,,,,,
Project Peanut Butter — Ready-to-Use Therapeutic Food RCT,Project Peanut Butter,Scientific Research,724929,9/1/2016,,,,,,,,,,,,,,
Color Of Change — Prosecutor Accountability,Color Of Change,Criminal Justice Reform,678772,9/1/2016,,,,,,,,,,,,,,
"GiveWell — Top Charity ""Participation"" Grants (2016)",GiveWell,Global Health & Development,500000,9/1/2016,,,,,,,,,,,,,,
People for Animals — International Cage-Free Advocacy,People for Animals,Farm Animal Welfare,89392,8/1/2016,,,,,,,,,,,,,,
Voters Organized to Educate — General Support (2016),Voters Organized to Educate,Criminal Justice Reform,222500,8/1/2016,,,,,,,,,,,,,,
"Katal Center for Health, Equity, and Justice — General Support","Katal Center for Health, Equity, and Justice",Criminal Justice Reform,64500,8/1/2016,,,,,,,,,,,,,,
Color Of Change Education Fund— Prosecutor Accountability,Color Of Change Education Fund,Criminal Justice Reform,321228,8/1/2016,,,,,,,,,,,,,,
Machine Intelligence Research Institute — General Support (2016),Machine Intelligence Research Institute,Potential Risks from Advanced Artificial Intelligence,500000,8/1/2016,,,,,,,,,,,,,,
Florida Rights Restoration Coalition — General Support,Florida Rights Restoration Coalition,Criminal Justice Reform,48000,8/1/2016,,,,,,,,,,,,,,
UC Berkeley — Center for Human-Compatible AI (2016),UC Berkeley,Potential Risks from Advanced Artificial Intelligence,5555550,8/1/2016,,,,,,,,,,,,,,
Voice of the Experienced — General Support,Voice of the Experienced,Criminal Justice Reform,325500,8/1/2016,,,,,,,,,,,,,,
PICO National Network — Live Free Campaign,PICO National Network,Criminal Justice Reform,1394250,8/1/2016,,,,,,,,,,,,,,
Humane Society International — International Cage-Free Outreach,Humane Society International,Farm Animal Welfare,1000000,8/1/2016,,,,,,,,,,,,,,
Mercy For Animals — International Cage-Free Advocacy,Mercy For Animals,Farm Animal Welfare,1000000,8/1/2016,,,,,,,,,,,,,,
Animal Equality — International Cage-Free Advocacy,Animal Equality,Farm Animal Welfare,500000,8/1/2016,,,,,,,,,,,,,,
Blue Ribbon Study Panel on Biodefense — General Support (2016),Blue Ribbon Study Panel on Biodefense,Biosecurity and Pandemic Preparedness,1300000,8/1/2016,,,,,,,,,,,,,,
Mijente — Criminal Justice Reform (2016),Mijente,Criminal Justice Reform,255000,8/1/2016,,,,,,,,,,,,,,
PICO Action Fund — Live Free Campaign,PICO Action Fund,Criminal Justice Reform,816188,8/1/2016,,,,,,,,,,,,,,
Research Institute of Industrial Economics — Genomic Research Methods,Research Institute of Industrial Economics,Scientific Research,500000,8/1/2016,,,,,,,,,,,,,,
Texas Organizing Project — Criminal Justice Reform (2016),Texas Organizing Project,Criminal Justice Reform,124400,8/1/2016,,,,,,,,,,,,,,
ReFrame Mentorship — General Support,ReFrame Mentorship,Criminal Justice Reform,37000,7/1/2016,,,,,,,,,,,,,,
Vera Institute of Justice — New Orleans User-Funded Justice System,Vera Institute of Justice,Criminal Justice Reform,100000,7/1/2016,,,,,,,,,,,,,,
The Humane League — International Cage-Free Advocacy,The Humane League,Farm Animal Welfare,1000000,7/1/2016,,,,,,,,,,,,,,
VOCAL-NY Action Fund — General Support,VOCAL-NY Action Fund,Criminal Justice Reform,40000,7/1/2016,,,,,,,,,,,,,,
Foundation for the National Institutes of Health — Working Group on Malaria Gene Drive Testing Path,Foundation for the National Institutes of Health,Scientific Research,1228845,7/1/2016,,,,,,,,,,,,,,
Center for Applied Rationality — General Support,Center for Applied Rationality,Other areas,1035000,7/1/2016,,,,,,,,,,,,,,
Ayni Institute — Momentum Training,Ayni Institute,Criminal Justice Reform,40000,7/1/2016,,,,,,,,,,,,,,
Center for Court Innovation — New Thinking about Criminal Justice Responses,Center for Court Innovation,Criminal Justice Reform,160000,7/1/2016,,,,,,,,,,,,,,
Harvard University — Program in Criminal Justice Policy and Management,Harvard University,Criminal Justice Reform,783000,7/1/2016,,,,,,,,,,,,,,
JustLeadershipUSA — General Support,JustLeadershipUSA,Criminal Justice Reform,40000,7/1/2016,,,,,,,,,,,,,,
Legal Services for Prisoners with Children — General Support,Legal Services for Prisoners with Children,Criminal Justice Reform,70000,7/1/2016,,,,,,,,,,,,,,
The Ordinary People Society — General Support,The Ordinary People Society,Criminal Justice Reform,125000,7/1/2016,,,,,,,,,,,,,,
Center on Budget and Policy Priorities — Full Employment Project (2016),Center on Budget and Policy Priorities,Macroeconomic Stabilization Policy,425000,7/1/2016,,,,,,,,,,,,,,
Prison Policy Initiative — General Support,Prison Policy Initiative,Criminal Justice Reform,50000,6/1/2016,,,,,,,,,,,,,,
Vera Institute of Justice — Common Justice,Vera Institute of Justice,Criminal Justice Reform,8000,6/1/2016,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support (2016),Alliance for Safety and Justice,Criminal Justice Reform,3000000,6/1/2016,,,,,,,,,,,,,,
California Renters Legal Advocacy and Education Fund — General Support,California Renters Legal Advocacy and Education Fund,Land Use Reform,300000,6/1/2016,,,,,,,,,,,,,,
George Mason University — Research into Future Artificial Intelligence Scenarios,George Mason University,Potential Risks from Advanced Artificial Intelligence,277435,6/1/2016,,,,,,,,,,,,,,
Economic Policy Institute — Macroeconomic Policy Research (2016),Economic Policy Institute,Macroeconomic Stabilization Policy,500000,6/1/2016,,,,,,,,,,,,,,
Roosevelt Institute — Macroeconomic Policy Research,Roosevelt Institute,Macroeconomic Stabilization Policy,200000,6/1/2016,,,,,,,,,,,,,,
Colorado Criminal Justice Reform Coalition — General Support (June 2016),Colorado Criminal Justice Reform Coalition,Criminal Justice Reform,61600,6/1/2016,,,,,,,,,,,,,,
IDinsight — General Support,IDinsight,Global Health & Development,1985000,6/1/2016,,,,,,,,,,,,,,
Center for Applied Rationality — SPARC,Center for Applied Rationality,Other areas,304000,5/1/2016,,,,,,,,,,,,,,
American Conservative Union Foundation — Center for Criminal Justice Reform (2016),American Conservative Union Foundation,Criminal Justice Reform,200000,5/1/2016,,,,,,,,,,,,,,
Promise of Justice Initiative — General Support,Promise of Justice Initiative,Criminal Justice Reform,81000,5/1/2016,,,,,,,,,,,,,,
American University — Forum for Climate Engineering Assessment,Forum for Climate Engineering Assessment,Global Catastrophic Risks,76234,5/1/2016,,,,,,,,,,,,,,
International Refugee Assistance Project — General Support (2016),International Refugee Assistance Project,Immigration Policy,700000,5/1/2016,,,,,,,,,,,,,,
iGEM — Synthetic Biology Safety and Security (2016),International Genetically Engineered Machine Foundation,Biosecurity and Pandemic Preparedness,520000,5/1/2016,,,,,,,,,,,,,,
Innovations for Poverty Action — Mindset Engagement in Cash Transfers,Innovations for Poverty Action,Global Health & Development,350000,5/1/2016,,,,,,,,,,,,,,
Results for Development — Childhood Pneumonia Treatment Scale-Up,Results for Development,Global Health & Development,6400000,5/1/2016,,,,,,,,,,,,,,
Free Migration Project — Planning Grant,Free Migration Project,Immigration Policy,24000,5/1/2016,,,,,,,,,,,,,,
Better Boulder — YIMBY 2016,Better Boulder,Land Use Reform,37000,4/1/2016,,,,,,,,,,,,,,
Accountable Justice Project — General Support,Accountable Justice Project,Criminal Justice Reform,350000,4/1/2016,,,,,,,,,,,,,,
Future of Research — General Support,Future of Research,Scientific Research,300000,4/1/2016,,,,,,,,,,,,,,
Compassion in World Farming USA — General Support (2016),Compassion in World Farming USA,Farm Animal Welfare,550000,4/1/2016,,,,,,,,,,,,,,
Correctional Association of New York — General Support,Correctional Association of New York,Criminal Justice Reform,50000,4/1/2016,,,,,,,,,,,,,,
University of Southern California — Genomic Research Methods,University of Southern California,Scientific Research,1738500,4/1/2016,,,,,,,,,,,,,,
Global Animal Partnership — General Support (2016),Global Animal Partnership,Farm Animal Welfare,500000,4/1/2016,,,,,,,,,,,,,,
Peterson Institute for International Economics — Macroeconomic Stabilization,Peterson Institute for International Economics,Macroeconomic Stabilization Policy,250000,4/1/2016,,,,,,,,,,,,,,
Center for American Progress — Macroeconomic Stabilization,Center for American Progress,Macroeconomic Stabilization Policy,500000,3/1/2016,,,,,,,,,,,,,,
University of Pennsylvania — Philip Tetlock on Forecasting,University of Pennsylvania,Other areas,500000,3/1/2016,,,,,,,,,,,,,,
Ayni Institute — Movement Ecology Training,Ayni Institute,Criminal Justice Reform,110000,3/1/2016,,,,,,,,,,,,,,
Future of Life Institute — General Support,Future of Life Institute,Global Catastrophic Risks,100000,3/1/2016,,,,,,,,,,,,,,
Institute of the Black World — Criminal Justice Reform,Institute of the Black World,Criminal Justice Reform,50000,3/1/2016,,,,,,,,,,,,,,
The Ordinary People Society — Criminal Justice Reform,The Ordinary People Society,Criminal Justice Reform,50000,3/1/2016,,,,,,,,,,,,,,
MIT Synthetic Neurobiology Group — Brain Mapping Research (Ed Boyden) (2016),MIT Synthetic Neurobiology Group,Scientific Research,2970000,3/1/2016,,,,,,,,,,,,,,
New Incentives — General Support (2016),New Incentives,Global Health & Development,300000,3/1/2016,,,,,,,,,,,,,,
Evidence Action — No Lean Season,Evidence Action,Global Health & Development,812351,3/1/2016,,,,,,,,,,,,,,
Vera Institute of Justice — Common Justice,Vera Institute of Justice,Criminal Justice Reform,200000,2/1/2016,,,,,,,,,,,,,,
Seattle for Everyone — General Support,Seattle for Everyone,Land Use Reform,50000,2/1/2016,,,,,,,,,,,,,,
Protect the People — Seasonal Migration from Haiti,Protect the People,Immigration Policy,550000,2/1/2016,,,,,,,,,,,,,,
Mercy For Animals — Corporate Cage-Free Campaigns (2016),Mercy For Animals,Farm Animal Welfare,1000000,2/1/2016,,,,,,,,,,,,,,
Center for Global Development — General Support 2016,Center for Global Development,Global Health & Development,3000000,2/1/2016,,,,,,,,,,,,,,
The Humane League — Corporate Cage-Free Campaigns,The Humane League,Farm Animal Welfare,1000000,2/1/2016,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support,Alliance for Safety and Justice,Criminal Justice Reform,1750000,2/1/2016,,,,,,,,,,,,,,
The Humane Society of the United States — Corporate Cage-Free Campaigns,The Humane Society of the United States,Farm Animal Welfare,500000,2/1/2016,,,,,,,,,,,,,,
Voice of the Ex-Offender — Southern Regional Convening,Voice of the Ex-Offender,Criminal Justice Reform,40000,2/1/2016,,,,,,,,,,,,,,
Vote Safe —  Criminal Justice Reform Policy Advocacy,Vote Safe,Criminal Justice Reform,250000,2/1/2016,,,,,,,,,,,,,,
Princeton University — Rescuing Biomedical Research (2016),Rescuing Biomedical Research,Scientific Research,299112,1/1/2016,,,,,,,,,,,,,,
GiveDirectly — General Support (January 2016),GiveDirectly,Global Health & Development,9750000,1/1/2016,,,,,,,,,,,,,,
